Decade	Provincia	Especie	Volum
2011-2020	Barcelona	P.radiata	4013.6820475
2011-2020	Barcelona	P.sylvestris	160585.97648563
2011-2020	Barcelona	P.uncinata	12783.38084163
2011-2020	Barcelona	Q.faginea	42.638735
2011-2020	Barcelona	Q.ilex	56082.631426
2011-2020	Barcelona	Q.pubescens	119.738285
2011-2020	Barcelona	Q.suber	117.5831
2011-2020	Barcelona	R.psudoacacia	148.43227
2011-2020	Barcelona	Ulmus sp	0.0264
2011-2020	Girona	A.alba	400.2623
2011-2020	Girona	A.glutinosa	361.2229925
2011-2020	Girona	Altres coniferes	2629.843265
2011-2020	Girona	Altres planifolis	49239.3177030769
2011-2020	Girona	B.alba	56.621422222
2011-2020	Girona	C.sativa	6946.602036347
2011-2020	Girona	Eucaliptus sp	5983.19021
2011-2020	Girona	F.sylvatica	5781.973234
2011-2020	Girona	Fraxinus sp	1376.932434
2011-2020	Girona	P.canadiensis	31731.118429
2011-2020	Girona	P.halepensis	54198.7515335
2011-2020	Girona	P.hybrida	5325.57525
2011-2020	Girona	P.menziesii	5342.1511088
2011-2020	Girona	P.nigra	6512.18129761
2011-2020	Girona	P.pinaster	55717.3084595
2011-2020	Girona	P.pinea	20488.06283499
2011-2020	Girona	P.radiata	25714.334621
2011-2020	Girona	P.sylvestris	64513.2642135
2011-2020	Girona	P.uncinata	3060.0441
2011-2020	Girona	Q.faginea	411.699665
2011-2020	Girona	Q.ilex	60767.0014146
2011-2020	Girona	Q.pubescens	480.961665
2011-2020	Girona	Q.suber	1210.07547
2011-2020	Girona	R.psudoacacia	652.3809
2011-2020	Girona	Ulmus sp	3.6637
2011-2020	Lleida	A.alba	2208.9644
2011-2020	Lleida	A.glutinosa	39.1509
2011-2020	Lleida	Altres coniferes	407.7993
2011-2020	Lleida	Altres planifolis	5058.50671538462
2011-2020	Lleida	B.alba	0
2011-2020	Lleida	C.sativa	0
2011-2020	Lleida	Eucaliptus sp	0
2011-2020	Lleida	F.sylvatica	36.5
2011-2020	Lleida	Fraxinus sp	128.5884
2011-2020	Lleida	P.canadiensis	4320.25355
2011-2020	Lleida	P.halepensis	6795.299795
2011-2020	Lleida	P.hybrida	0
2011-2020	Lleida	P.menziesii	0
2011-2020	Lleida	P.nigra	55842.43594272
2011-2020	Lleida	P.pinaster	394.084075
2011-2020	Lleida	P.pinea	29.4942
2011-2020	Lleida	P.radiata	0
2011-2020	Lleida	P.sylvestris	50694.1240155
2011-2020	Lleida	P.uncinata	6513.473475
2011-2020	Lleida	Q.faginea	137.8355
2011-2020	Lleida	Q.ilex	18661.668645
2011-2020	Lleida	Q.pubescens	112.9362
2011-2020	Lleida	Q.suber	0
2011-2020	Lleida	R.psudoacacia	0
2011-2020	Lleida	Ulmus sp	1.0721
2011-2020	Tarragona	A.alba	0
2011-2020	Tarragona	A.glutinosa	0
2011-2020	Tarragona	Altres coniferes	0.11875
2011-2020	Tarragona	Altres planifolis	330.156615384615
2011-2020	Tarragona	B.alba	0
2011-2020	Tarragona	C.sativa	0.3
2011-2020	Tarragona	Eucaliptus sp	0
2011-2020	Tarragona	F.sylvatica	0
2011-2020	Tarragona	Fraxinus sp	0
2011-2020	Tarragona	P.canadiensis	257.9812
2011-2020	Tarragona	P.halepensis	21165.8166975
2011-2020	Tarragona	P.hybrida	0.904
2011-2020	Tarragona	P.menziesii	0
2011-2020	Tarragona	P.nigra	2753.71630475
2011-2020	Tarragona	P.pinaster	22.229
2011-2020	Tarragona	P.pinea	12.788235294
2011-2020	Tarragona	P.radiata	3.707275
2011-2020	Tarragona	P.sylvestris	20573.352365
2011-2020	Tarragona	P.uncinata	0
2011-2020	Tarragona	Q.faginea	0.22
2011-2020	Tarragona	Q.ilex	4425.0442
2011-2020	Tarragona	Q.pubescens	0.8
2011-2020	Tarragona	Q.suber	0
2011-2020	Tarragona	R.psudoacacia	0
2011-2020	Tarragona	Ulmus sp	0.43
